PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.4432978808120243,-0.1096681322036878,-0.9826404512866901,-0.5104204556959283,1.2225772016973306
0BVvxJ6a,0.25640969214396464,-0.1784971640067117,0.5661623387683391,0.2525788396060593,-1.2584795397692297
0KbdgApg,-0.1338132019629654,-0.2904854799072747,0.10141772433717156,0.05465568941850856,-0.6096069314727239
0MnuuduB,-0.2587353178294212,-0.22527535141865507,-0.15595423446676754,0.7482560851036121,-0.8507653055509553
0PcIsF9z,-0.4772873569299786,-0.1962462344747538,-1.3133408725467473,-0.055824838391934264,0.0012411888894613627
0ShTFLYJ,-0.37597492256393494,-0.37725426049683053,-0.8015399763928244,-0.7071325654970974,0.44301107348540647
0XZh9jka,-0.3837789471099304,-0.21212278480204233,-0.730559378547974,0.9100037464459827,-0.5873014440879099
0Y7Wegri,-0.38779333327543153,-0.08250022540409649,0.028890553672427842,-0.2978046506097074,0.3330502520313996
0dTqplIM,0.1456678508939097,-0.1693836912172284,0.38584520270485795,0.33701525900677276,-0.9329209840096814
0lNiZicC,-0.41600465110965623,-0.1872676363803823,-1.312595420637365,-0.5694942257705148,0.13792017447957539
0rGeJ0QN,-0.4332256196881738,-0.051863004080672896,-0.5253356744833431,-0.06321496307639955,-0.057668542420908075
0sXI9ytQ,-0.47689587710615466,-0.22888863710732302,-0.3433409548544022,-0.5898863928526894,1.5110271079534645
0ukt4aP6,0.39223542590559884,0.016233210385778574,1.2737361681343595,-0.5401992500218539,-0.024495332268958527
1AGspb8f,-0.36528029104874976,-0.38670865465707355,-0.9354725701874945,-0.11754059349823147,-0.8716080086554147
1Csy0gvE,-0.4510422644761503,-0.09682210821373546,-0.19599571686192838,-0.5473293290885399,0.6746975033204528
1Ic2hly1,-0.3655597092267334,0.1843468027015622,-0.4100376533146424,-0.19575586913956425,0.4244204868247818
1PPbaTwt,-0.3291696071968886,0.02895011152950036,-0.32817650291064593,-0.3825802330729753,0.530663431420468
1SO5VJNy,-0.3579470812239059,-0.08203869109010323,0.0869050219102115,-0.41524632249625626,0.6422988245157918
1arHxK3Y,0.630810697955778,0.18271400517573608,1.2435733229495627,0.35540120038727013,-0.38353579239732444
1fCW4Bba,-0.34437552520884784,0.1584705451213866,-0.2590916386723575,-0.5029872683098928,0.7744297085155561
1qDZNvIm,-0.4739738053207688,-0.22721104719370502,-0.20521501748321835,-0.642729078978019,1.1292847014291598
28LYJC2V,-0.3495242942098916,-0.23506622745972025,-0.8938322650883369,0.5086975223668072,-0.7261499110489894
2CzACvQq,0.4242429855122375,0.4335384520329896,1.586558464180169,-0.31216283279347457,-0.3653710799457926
2FT3crfv,-0.16590161034372974,-0.2634160116456617,0.15678729391436386,0.2141582408679573,-0.6801844338369443
2Fy2uHVg,-0.44488928345989076,-0.11722281055243237,-0.47612310777991923,-0.34202399515139514,-0.4904245126955245
2MkMEApm,-0.3699817969463002,-0.025133781800322833,-0.16628980669775162,-0.5563862649742566,1.0454216886676584
2NDGWEOe,0.5998661633982386,0.41165857908805104,1.433885568090299,-0.6363238305649607,-0.317722327160938
2NyyCiqn,-0.354217237264736,-0.1287737270911666,-0.09694009462538923,-0.42786234564516035,0.507723534693783
2QRzIb84,0.11324039972768515,0.5285611376834481,1.7543396327932015,-0.5609961408072104,0.4801222093898772
2QcbdrUZ,-0.5537445259035594,-0.37662372446102504,-0.04432655782548029,-0.32178905007693065,0.17152384308582028
2YgAimWK,-0.32792986783500244,-0.009603672797430409,-0.007301596723179295,-0.5174515829222336,0.9099921146531167
2cx85d9H,0.00862279324061534,-0.41775447898214696,-0.03993034745303895,0.07705987318202329,-0.7823370842297104
2homMXMV,-0.4184652703692191,-0.062379994367756916,-1.1150450913977605,-0.06406303465433365,0.464173182661417
2ldLrUtq,-0.3707476790296988,-0.31313275965005033,-0.24092794679048246,-0.39324790986911096,-0.14245079006403966
2nsACW6G,-0.36302251626515475,-0.5200498803084861,-1.3707986280823854,1.1014776825004586,-0.9017637370573279
2yMbVnWc,-0.3642116378526093,0.21512250791460752,-1.6129541942674173,1.3145093337383182,0.1807585000603813
36r8sgGQ,-0.40388308076329726,-0.22574474189010646,-0.06773039194043701,-0.5366801745989928,0.7088356456181742
3NXAXCl3,-0.5871431468674604,-0.41595929155350375,-1.3669269789775254,0.40188989609865094,-0.8085640283896037
3QG0z6fl,-0.3771998004454112,0.01212615410175702,-1.0556411713225835,-0.477646423693121,0.8113634878679284
3WS8R9qm,-0.6010694093074039,-0.15480631835826716,-1.391426990604963,2.3886117252470487,-0.6079214153921063
3fRLm8f5,-0.365950434928681,-0.07311894270712682,-0.40172804738212575,-0.056121465262689636,0.32722240335023905
3mZhp1nQ,-0.46579876908443185,-0.4167404627881816,-0.22279294123259577,-0.4724653081931279,0.5003035654773623
3pikJXRL,-0.5544198932731459,-0.41345962478583087,-1.3932420743686134,0.35553681219464667,-0.6946903358350828
3pxOEGHL,-0.4299596243152858,-0.2343958613296375,-0.44980816484007263,-0.5731024209056282,0.6573010674221913
3ttdV3f5,-0.5332353877904628,-0.1401542815281312,-0.3639485439510061,-0.137062676978446,-0.6142787881666975
3v4X6Mfe,0.8553402920886599,-0.05689570217433281,1.461500457333514,-0.4699779805309998,-0.03746452240409439
